regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2022-2024,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),46.6020859994683,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),81.08998376118241,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Työttömät (med.),88.54798470356565,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00100,Helsinki keskusta - Etu-Töölö (Helsinki),Helsinki,91,Kokonaislukema (med.),72.0800181547388,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),46.75139455203336,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),77.5508902456617,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Työttömät (med.),90.39042424349248,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00120,Punavuori - Bulevardi (Helsinki),Helsinki,91,Kokonaislukema (med.),71.5642363470625,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),49.14177571706761,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),82.77730033707041,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Työttömät (med.),75.20682258264624,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00130,Kaartinkaupunki (Helsinki),Helsinki,91,Kokonaislukema (med.),69.04196621226141,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),45.3401386198696,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),78.02178173393476,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Työttömät (med.),88.91082792385731,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00140,Kaivopuisto - Ullanlinna (Helsinki),Helsinki,91,Kokonaislukema (med.),70.75758275922055,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),49.00440596789455,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),78.70128313379394,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Työttömät (med.),109.2773849940666,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00150,Punavuori - Eira - Hernesaari (Helsinki),Helsinki,91,Kokonaislukema (med.),78.99435803191835,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00160,Katajanokka (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),58.32712707110392,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00160,Katajanokka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),72.88274101237417,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00160,Katajanokka (Helsinki),Helsinki,91,Työttömät (med.),87.11998164327223,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00160,Katajanokka (Helsinki),Helsinki,91,Kokonaislukema (med.),72.77661657558343,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00170,Kruununhaka (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),46.26901955972489,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00170,Kruununhaka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),75.36721156261692,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00170,Kruununhaka (Helsinki),Helsinki,91,Työttömät (med.),81.41086685445474,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00170,Kruununhaka (Helsinki),Helsinki,91,Kokonaislukema (med.),67.6823659922655,90,Helsingin kaupunki
